Game ,Win/Loss,Margin,Shots Taken ,Assists
4/23/09,L,-2,24,6
4/25/09,W,14,24,1
4/27/09,W,11,21,4
5/4/09,L,-8,31,4
5/6/09,W,13,27,3
5/8/09,W,14,28,3
5/10/09,L,-12,17,5
5/12/09,W,40,19,3
5/14/09,L,-15,27,3
5/17/09,W,19,12,5
5/19/09,W,2,28,4
5/21/09,L,-3,20,3
5/23/09,W,6,24,5
5/25/09,L,-19,26,5
5/27/09,W,9,13,8
5/29/09,W,27,20,10
6/4/09,W,25,34,8
6/7/09,W,5,22,8
6/9/09,L,-4,25,8
6/11/09,W,8,31,8
6/14/09,W,13,23,5
10/27/09,W,7,26,3
10/30/09,L,-14,19,2
11/1/09,W,8,29,3
11/3/09,W,3,22,4
11/4/09,W,1,30,4
11/6/09,W,16,30,1
11/8/09,W,16,21,1
11/12/09,W,19,21,4
11/13/09,L,-26,17,2
11/15/09,L,-10,20,3
11/17/09,W,13,29,5
11/19/09,W,15,21,8
11/22/09,W,16,23,7
11/24/09,W,10,20,4
11/28/09,W,33,20,6
11/29/09,W,19,17,7
12/1/09,W,11,11,4
12/4/09,W,1,25,3
12/6/09,W,20,16,3
12/9/09,W,24,19,8
12/11/09,W,12,18,5
12/12/09,L,-8,24,5
12/15/09,W,9,26,3
12/16/09,W,1,28,4
12/19/09,W,19,23,5
12/20/09,W,12,23,4
12/22/09,W,3,26,6
12/25/09,L,-15,33,8
12/26/09,W,9,30,4
12/28/09,L,-15,26,2
12/29/09,W,6,27,11
1/1/10,W,1,27,5
1/3/10,W,35,12,8
1/5/10,W,9,23,3
1/6/10,L,-11,30,8
1/8/10,L,-9,37,7
1/10/10,W,18,21,1
1/12/10,L,-20,10,3
1/13/10,W,5,11,1
1/15/10,W,40,20,3
1/18/10,W,6,19,7
1/21/10,L,-6,31,4
1/22/10,W,10,24,6
1/24/10,L,-1,24,9
1/26/10,W,12,15,8
1/27/10,W,22,15,7
1/29/10,W,8,22,3
1/31/10,W,1,20,6
2/1/10,L,-2,28,3
2/3/10,W,2,12,6
2/5/10,L,-13,22,0
2/23/10,W,1,19,6
2/24/10,L,-5,23,2
2/26/10,W,9,16,8
2/28/10,W,6,17,12
3/2/10,W,23,14,6
3/4/10,L,-3,28,4
3/5/10,L,-15,21,2
3/7/10,L,-2,30,7
3/9/10,W,2,20,6
3/12/10,W,6,16,8
3/15/10,W,3,18,4
3/16/10,W,7,26,7
3/19/10,W,8,11,13
3/21/10,W,7,17,4
3/24/10,W,9,16,6
3/26/10,L,-16,11,3
3/27/10,W,8,14,9
3/29/10,L,-8,18,6
3/31/10,L,-17,21,4
4/2/10,W,14,23,3
4/4/10,L,-19,24,6
4/11/10,L,-3,23,2
4/18/10,W,8,19,3
4/20/10,W,3,28,1
4/22/10,L,-5,29,8
4/24/10,L,-21,10,4
4/27/10,W,24,9,7
4/30/10,W,1,25,3
5/2/10,W,5,19,4
5/4/10,W,8,22,8
